index,pubid,retrieved_pmids,retrieval_hit,retrieval_rank,retrieved_context_count,question,gold_label,prediction,is_valid,is_correct,input_tokens,output_tokens,total_tokens,latency_sec
1,21645374,216453741822290000000000,TRUE,1,3,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,yes,TRUE,TRUE,915,265,1180,3.066
2,16418930,164189302668651000000000,TRUE,1,3,Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,yes,TRUE,FALSE,1137,524,1661,4.076
3,9488747,94887472353968900000000,TRUE,1,3,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",yes,yes,TRUE,TRUE,641,508,1149,3.525
4,17208539,172085392406161000000000,TRUE,1,3,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,no,no,TRUE,TRUE,1072,416,1488,4.413
5,10808977,108089772595736000000000,TRUE,1,3,Can tailored interventions increase mammography use among HMO women?,yes,yes,TRUE,TRUE,1052,254,1306,2.399
6,23831910,175934592525199000000000,FALSE,,3,Double balloon enteroscopy: is it efficacious and safe in a community setting?,yes,maybe,TRUE,FALSE,1226,601,1827,4.667
7,26037986,260379861073288000000000,TRUE,1,3,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe,yes,TRUE,FALSE,994,418,1412,3.853
8,26852225,26852225151517000000000,TRUE,1,3,Is adjustment for reporting heterogeneity necessary in sleep disorders?,no,yes,TRUE,FALSE,879,272,1151,2.877
9,17113061,171130612515009000000000,TRUE,1,3,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,no,TRUE,TRUE,959,343,1302,3.699
10,10966337,109663372670117000000000,TRUE,1,3,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,yes,yes,TRUE,TRUE,1064,304,1368,2.569
11,25432938,254329381599546000000000,TRUE,1,3,Did Chile's traffic law reform push police enforcement?,yes,yes,TRUE,TRUE,839,488,1327,5.266
12,18847643,188476432116406000000000,TRUE,1,3,Therapeutic anticoagulation in the trauma patient: is it safe?,no,no,TRUE,TRUE,1081,291,1372,2.85
13,18239988,182399882358846000000000,TRUE,1,3,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,yes,yes,TRUE,TRUE,1179,246,1425,2.257
14,25957366,259573662286777000000000,TRUE,1,3,Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,no,no,TRUE,TRUE,1045,352,1397,2.686
15,24866606,248666062518685000000000,TRUE,1,3,Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,yes,yes,TRUE,TRUE,963,541,1504,5.622
16,26578404,265784042125673000000000,TRUE,1,3,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,yes,yes,TRUE,TRUE,1069,708,1777,5.61
17,11729377,1172937796031660000000,TRUE,1,3,Is there still a need for living-related liver transplantation in children?,yes,yes,TRUE,TRUE,1028,434,1462,5.7
18,17096624,170966241223830000000000,TRUE,1,3,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes,yes,TRUE,TRUE,822,280,1102,2.477
19,22694248,226942481870830000000000,TRUE,1,3,Is there a model to teach and practice retroperitoneoscopic nephrectomy?,yes,yes,TRUE,TRUE,802,195,997,2.316
20,22990761,229907612282559000000000,TRUE,1,3,Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?,yes,yes,TRUE,TRUE,1107,288,1395,6.566
21,19394934,193949342184545000000000,TRUE,1,3,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,yes,maybe,TRUE,FALSE,841,626,1467,4.286
22,11481599,114815991186212000000000,TRUE,1,3,Acute respiratory distress syndrome in children with malignancy--can we predict outcome?,yes,yes,TRUE,TRUE,826,262,1088,3.417
23,21669959,216699591642835000000000,TRUE,1,3,Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?,yes,yes,TRUE,TRUE,1078,411,1489,2.852
24,23806388,238063881700869000000000,TRUE,1,3,Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,yes,yes,TRUE,TRUE,920,327,1247,2.364
25,17919952,179199522195159000000000,TRUE,1,3,Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,yes,yes,TRUE,TRUE,952,624,1576,4.999
26,10966943,109669431641893000000000,TRUE,1,3,Amblyopia: is visual loss permanent?,no,no,TRUE,TRUE,972,514,1486,4.569
27,23690198,236901982252146000000000,TRUE,1,3,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,yes,no,TRUE,FALSE,1023,428,1451,3.933
