index,pubid,question,gold_label,condition,candidate_count,selected_pmids,retrieval_hit,prediction,is_valid,input_tokens,output_tokens,total_tokens,latency_sec,is_correct
1,21645374,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,pubmed_native_top3,1,21645374,TRUE,yes,TRUE,597,174,771,3.97,TRUE
1,21645374,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,pubmed_cosine_top3,1,21645374,TRUE,yes,TRUE,597,93,690,1.433,TRUE
1,21645374,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,pubmed_cosine_top1,1,21645374,TRUE,yes,TRUE,597,172,769,3.199,TRUE
2,16418930,Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,pubmed_native_top3,0,,FALSE,maybe,TRUE,82,188,270,2.032,FALSE
2,16418930,Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,pubmed_cosine_top3,0,,FALSE,maybe,TRUE,82,156,238,1.876,FALSE
2,16418930,Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,pubmed_cosine_top1,0,,FALSE,maybe,TRUE,82,162,244,4.652,FALSE
3,9488747,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",yes,pubmed_native_top3,1,9488747,TRUE,maybe,TRUE,355,433,788,4.813,FALSE
3,9488747,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",yes,pubmed_cosine_top3,1,9488747,TRUE,maybe,TRUE,355,272,627,2.647,FALSE
3,9488747,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",yes,pubmed_cosine_top1,1,9488747,TRUE,yes,TRUE,355,292,647,3.242,TRUE
4,17208539,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,no,pubmed_native_top3,1,17208539,TRUE,no,TRUE,524,360,884,2.929,TRUE
4,17208539,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,no,pubmed_cosine_top3,1,17208539,TRUE,no,TRUE,524,266,790,2.741,TRUE
4,17208539,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,no,pubmed_cosine_top1,1,17208539,TRUE,no,TRUE,524,253,777,4.212,TRUE
5,10808977,Can tailored interventions increase mammography use among HMO women?,yes,pubmed_native_top3,10,212756491719635000000000,FALSE,yes,TRUE,1117,272,1389,2.67,TRUE
5,10808977,Can tailored interventions increase mammography use among HMO women?,yes,pubmed_cosine_top3,10,117490951457242000000000,TRUE,yes,TRUE,1189,427,1616,3.129,TRUE
5,10808977,Can tailored interventions increase mammography use among HMO women?,yes,pubmed_cosine_top1,10,11749095,FALSE,yes,TRUE,403,793,1196,4.814,TRUE
6,23831910,Double balloon enteroscopy: is it efficacious and safe in a community setting?,yes,pubmed_native_top3,0,,FALSE,maybe,TRUE,79,151,230,1.646,FALSE
6,23831910,Double balloon enteroscopy: is it efficacious and safe in a community setting?,yes,pubmed_cosine_top3,0,,FALSE,maybe,TRUE,79,124,203,1.578,FALSE
6,23831910,Double balloon enteroscopy: is it efficacious and safe in a community setting?,yes,pubmed_cosine_top1,0,,FALSE,maybe,TRUE,79,150,229,1.856,FALSE
7,26037986,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe,pubmed_native_top3,1,26037986,TRUE,yes,TRUE,457,228,685,3.556,FALSE
7,26037986,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe,pubmed_cosine_top3,1,26037986,TRUE,yes,TRUE,457,258,715,1.963,FALSE
7,26037986,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe,pubmed_cosine_top1,1,26037986,TRUE,yes,TRUE,457,287,744,1.969,FALSE
8,26852225,Is adjustment for reporting heterogeneity necessary in sleep disorders?,no,pubmed_native_top3,4,416466684121236000000000,FALSE,yes,TRUE,1768,826,2594,7.066,FALSE
8,26852225,Is adjustment for reporting heterogeneity necessary in sleep disorders?,no,pubmed_cosine_top3,4,268522253764288000000000,TRUE,no,TRUE,1772,233,2005,2.186,TRUE
8,26852225,Is adjustment for reporting heterogeneity necessary in sleep disorders?,no,pubmed_cosine_top1,4,26852225,TRUE,no,TRUE,486,166,652,1.834,TRUE
9,17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,pubmed_native_top3,1,17113061,TRUE,no,TRUE,325,151,476,2.201,TRUE
9,17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,pubmed_cosine_top3,1,17113061,TRUE,no,TRUE,325,155,480,2.331,TRUE
9,17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,pubmed_cosine_top1,1,17113061,TRUE,no,TRUE,325,253,578,2.108,TRUE
10,10966337,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,yes,pubmed_native_top3,0,,FALSE,maybe,TRUE,83,117,200,1.429,FALSE
10,10966337,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,yes,pubmed_cosine_top3,0,,FALSE,maybe,TRUE,83,152,235,2.242,FALSE
10,10966337,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,yes,pubmed_cosine_top1,0,,FALSE,maybe,TRUE,83,123,206,1.551,FALSE
11,25432938,Did Chile's traffic law reform push police enforcement?,yes,pubmed_native_top3,1,25432938,TRUE,yes,TRUE,428,198,626,1.864,TRUE
11,25432938,Did Chile's traffic law reform push police enforcement?,yes,pubmed_cosine_top3,1,25432938,TRUE,yes,TRUE,428,593,1021,3.617,TRUE
11,25432938,Did Chile's traffic law reform push police enforcement?,yes,pubmed_cosine_top1,1,25432938,TRUE,yes,TRUE,428,291,719,2.858,TRUE
12,18847643,Therapeutic anticoagulation in the trauma patient: is it safe?,no,pubmed_native_top3,10,425417734234454000000000,FALSE,maybe,TRUE,1469,911,2380,5.64,FALSE
12,18847643,Therapeutic anticoagulation in the trauma patient: is it safe?,no,pubmed_cosine_top3,10,422337074234454000000000,FALSE,maybe,TRUE,1311,753,2064,6.132,FALSE
12,18847643,Therapeutic anticoagulation in the trauma patient: is it safe?,no,pubmed_cosine_top1,10,42233707,FALSE,maybe,TRUE,416,361,777,2.908,FALSE
13,18239988,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,yes,pubmed_native_top3,2,2467571518239980,TRUE,no,TRUE,931,695,1626,3.981,FALSE
13,18239988,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,yes,pubmed_cosine_top3,2,1823998824675710,TRUE,no,TRUE,931,371,1302,3.305,FALSE
13,18239988,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,yes,pubmed_cosine_top1,2,18239988,TRUE,no,TRUE,503,254,757,2.445,FALSE
14,25957366,Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,no,pubmed_native_top3,1,25957366,TRUE,no,TRUE,462,184,646,3.248,TRUE
14,25957366,Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,no,pubmed_cosine_top3,1,25957366,TRUE,no,TRUE,462,165,627,2.198,TRUE
14,25957366,Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,no,pubmed_cosine_top1,1,25957366,TRUE,no,TRUE,462,169,631,1.652,TRUE
15,24866606,Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,yes,pubmed_native_top3,10,427052474261266000000000,FALSE,maybe,TRUE,2560,204,2764,2.118,FALSE
15,24866606,Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,yes,pubmed_cosine_top3,10,407048734222949000000000,FALSE,maybe,TRUE,2347,563,2910,15.763,FALSE
15,24866606,Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,yes,pubmed_cosine_top1,10,40704873,FALSE,maybe,TRUE,411,475,886,4.132,FALSE
16,26578404,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,yes,pubmed_native_top3,1,26578404,TRUE,yes,TRUE,587,250,837,2.307,TRUE
16,26578404,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,yes,pubmed_cosine_top3,1,26578404,TRUE,yes,TRUE,587,351,938,3.043,TRUE
